,year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
804,2017,2,2,17.0,11.1,-87.2,1,4,0.0,0,7.0,3.0,1.0,1,9HOF8,,0,60.0,4,10.3,,98,2,0,1011.4,8,0.8,0.0,28.0,0,23.6,,21.5,1.0,26.0,1,1.0,1,,5,A,A,,8,2.0,9,8,2.0,,277,17,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,N6G3SR,3,0,1,0,1,2017-02-02 17:00:00+00:00
805,2017,2,2,21.0,11.5,-87.7,1,4,0.0,0,7.0,3.0,1.0,1,9HOF8,,0,90.0,4,1.0,,98,2,0,1009.7,6,2.0,0.0,28.0,0,24.7,,23.2,1.0,26.0,0,0.0,0,,9,0,0,,3,0.5,6,4,0.5,,277,17,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,N6GVAO,3,0,1,0,1,2017-02-02 21:00:00+00:00
806,2017,5,17,12.0,12.1,149.7,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,110.0,4,10.8,,97,2,1,1016.0,3,1.7,0.0,29.0,0,27.0,,26.3,3.0,31.0,5,5.0,3,,6,7,6,,2,2.0,11,2,1.5,,264,29,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NJL6IR,3,0,1,0,1,2017-05-17 12:00:00+00:00
807,2017,4,30,18.0,30.1,143.5,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,230.0,4,6.7,,97,3,0,1018.9,6,1.2,0.0,19.0,0,16.5,,15.0,1.0,26.0,5,4.0,3,,5,6,6,,2,1.5,23,2,1.5,,192,3,992,114,5,1,2.0,,,,,,,1,511111,11111111111111,,,,NHFW6Q,3,0,1,0,1,2017-04-30 18:00:00+00:00
808,2017,1,23,12.0,-27.7,154.1,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,140.0,4,2.6,,97,2,2,1019.2,3,1.1,0.0,26.0,0,22.0,,20.2,1.0,30.0,7,6.0,7,,2,7,8,,1,1.0,14,1,0.5,,409,74,992,114,5,1,2.0,,,,,,,1,511111,11111111111111,,,,N556HK,3,0,1,0,1,2017-01-23 12:00:00+00:00
809,2017,6,16,6.0,22.2,140.0,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,200.0,4,4.1,,97,3,1,1010.7,1,1.1,0.0,30.5,0,27.8,,26.9,3.0,32.0,5,4.0,3,,5,4,5,,2,1.0,20,2,0.5,,228,20,992,114,5,1,2.0,,,,,,,2,311111,11111111111111,,,,NNFVTC,3,0,1,0,1,2017-06-16 06:00:00+00:00
810,2017,6,13,6.0,8.0,143.2,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,90.0,4,5.1,,97,3,1,1010.6,8,1.3,0.0,28.5,0,27.0,,26.5,3.0,32.0,7,5.0,7,,3,7,8,,2,1.0,9,2,1.0,,300,83,992,114,5,1,2.0,,,,,,,2,311111,11111111111111,,,,NN1UXJ,3,0,1,0,1,2017-06-13 06:00:00+00:00
811,2017,2,25,6.0,16.2,130.0,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,40.0,4,7.2,,97,2,1,1014.6,7,2.3,0.0,26.5,0,24.0,,23.0,1.0,29.0,5,4.0,5,,6,6,6,,1,1.0,6,1,1.5,,263,60,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,N99ZCY,3,0,1,0,1,2017-02-25 06:00:00+00:00
812,2017,4,26,12.0,11.2,149.9,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,90.0,4,5.1,,97,2,1,1016.6,3,2.2,0.0,28.0,0,26.5,,26.0,1.0,32.0,5,4.0,2,,3,4,4,,2,1.5,9,2,1.0,,264,19,992,114,5,1,2.0,,,,,,,1,511131,11111111111111,,,,NGW8W4,3,0,1,0,1,2017-04-26 12:00:00+00:00
813,2017,5,2,12.0,36.8,140.9,1,4,0.0,0,0.0,0.0,,1,9VPY5,,0,190.0,4,2.1,,97,2,0,1030.4,3,2.5,0.0,12.5,0,11.5,,10.7,,19.0,3,2.0,1,,3,2,9,,2,1.0,19,1,0.5,,192,60,992,114,5,1,2.0,,,,,,,1,111131,11111111111111,,,,NHO0JQ,3,0,1,0,1,2017-05-02 12:00:00+00:00
